"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(POL)","Value_OUT(POL)","CurrentValue @ $0.186656060032655/POL","TxnFee(POL)","TxnFee(USD)","Historical $Price/POL","Status","ErrCode","Method"
"0x75ff6c3d15fe3adf1b08e0dc89c6ed5b5e470f6fe8c20c354c9d6958b81dacee","78339785","1761784399","2025-10-30 00:33:19","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0x60da14d6a614720bcdc5eee28d0d2e510fac836f","0","0","0","0.01759451652340248","0.00328412313243775","","","","0x60803461"
"0x4792b19723630d3da79206904529679c75d3bfba28c3e92604f98e63089639e2","78339786","1761784401","2025-10-30 00:33:21","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0x59bf29481e4e6e6c58729734c3551ecb81ee533d","0","0","0","0.017638525172573904","0.00329233761349945","","","","0x60803461"
"0xa47f1427740d9e6c3e1c9ee080f09a256ac982079203812d27c37525e320a5af","78339787","1761784403","2025-10-30 00:33:23","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0x3e01eca61f0ac7a25df2142d3c036292808e0b91","0","0","0","0.147238483401744804","0.0274829551969532","","","","0x60808060"
"0x6716920ac9012e599b82bc32919ff9052b8c6c681cb13455f3303ddb81cbf145","78339788","1761784405","2025-10-30 00:33:25","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0x6dad7a431c8527feab2940149688980689c14e5e","0","0","0","0.017616407806145448","0.00328820927302362","","","","0x60803461"
"0x4a125f69e988a8a3eb1843d421898e3b7ce01adc17c28c6e11c315d93011a5af","78339789","1761784407","2025-10-30 00:33:27","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0xe82cca2448c87c4b07e489714ec16684209d7d58","0","0","0","0.200918387744144136","0.0375026346444352","","","","0x60a08060"
"0x54f3b536390b3e41b6ef8b395b3927834f868c8b4451042722fee237c7aa2d6c","78339789","1761784407","2025-10-30 00:33:27","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0xf7d5ded91d12ff8a9f08888df2da1e680af0f9fb","0","0","0","0.080690463549722068","0.0150613640083997","","","","0x60a08060"
"0x427c8377498204478ca6cd3fb084b1b577444e7ae545e4726f4bd9b919c9cab2","78339789","1761784407","2025-10-30 00:33:27","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0xbec80bf2ef21597c0b40106d8ef70d03fee44c79","0","0","0","0.16220598004510325","0.0302767291489544","","","","0x60a08060"
"0x30e82804563a273597d556f2ec36eeeb0c71649c27a579c7b7b2aef9160d9f65","78339790","1761784409","2025-10-30 00:33:29","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0x89cfa5418326f22999ac2265aa48d173a4da6f86","0","0","0","0.214207311263355","0.0399830927506064","","","","0x60a08060"
"0x26742a3d8876dc99c94088df2353af317fe5e0be09fa698d90eb80459bdc70bc","78339791","1761784411","2025-10-30 00:33:31","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0xb86e162e3008d0ddfb5bb2e3ba27144ae5d9edbe","0","0","0","0.01767471335040758","0.00329909235619365","","","","0x60803461"
"0xe33abb13fed736ce819fd2c4707b097812c7a822f9909a4394f9dc656ee54310","78339792","1761784413","2025-10-30 00:33:33","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0xd9f12bc43287bc98392c52c16e12c27e55e0ff0b","0","0","0","0.119616744032212252","0.0223271901549873","","","","0x60808060"
"0xe8bcc4cec3da1db894084ded37a015dbb71ff168e85ac2540e613a7b181c459e","78339792","1761784413","2025-10-30 00:33:33","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0x0c415b3c53727fd1ab02d3ec337adb4b2399277e","0","0","0","0.094289152326729752","0.0175996416771262","","","","0x60808060"
"0xac9970458b676c9c47879fad1c5dea870251c103309b9280eaad1c4d4d586053","78339793","1761784415","2025-10-30 00:33:35","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0x5823c9270013f72ba4cae939c1ffbe69b325714c","0","0","0","0.017635273822387856","0.00329173072928394","","","","0x60803461"
"0x14d5c7b83b1d0f05f58d0bab9af38548c2479e42a5f3bb1266a15d711e4afdb4","78339793","1761784415","2025-10-30 00:33:35","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0x221be674d710e9aad3129407538a5d84b5bf3fdb","0","0","0","0.26889366187568205","0.0501906314934677","","","","0x60a08060"
"0x061775c21badd539043b7e27657c23e1c098b86ee16a638888a222ea86ad0794","78339794","1761784417","2025-10-30 00:33:37","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0xc0ad7464f8d0c1b096d5832ca02f1e6a85b89a7e","0","0","0","0.017705877355888016","0.00330490930667146","","","","0x60803461"
"0x84e108a4bde582d24f4ea358a20b53cdcfaa9ed922baf305ac75b4ee4eb339e0","78339795","1761784419","2025-10-30 00:33:39","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0xb19ee3a16554d339111028fe3a76fee5ae45e8a3","0","0","0","0.017784588776978144","0.00331960127041172","","","","0x60803461"
"0x4753dc7de0e0626f73de377eef6904c29cdcd392dbe9e90e553a8f03bc717e5e","78339796","1761784421","2025-10-30 00:33:41","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0x71feb584dfe553268152a699a98194b5724f74b1","0","0","0","0.200854670095372788","0.037490741359161","","","","0x60a08060"
"0xb2da8aa1c98f52e5449d286974175d24c7a17404bd34ea56ff6483ae4342f370","78339797","1761784423","2025-10-30 00:33:43","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","","0xcb931e6b2d2ff405ed6369872843c157210ef24b","0","0","0","0.017784756659778124","0.00331963260675371","","","","0x60803461"
"0xc6d3597def952a02ae037ec8c75869e67d09ee39342cdd9edaea6bd023cfd782","78360770","1761826369","2025-10-30 12:12:49","0x8495b3f7493263685ffcda2602ffff349d4ed3b8","0x3a23f943181408eac424116af7b7790c94cb97a5","","0","78.62928813559321","14.6766331265622","0.058943189605529052","0.0110021035375258","","","","Execute Controller"
